Year,Intrest_Rate
1978,7.93
1979,11.19
1980,13.36
1981,16.38
1982,12.26
1983,9.09
1984,10.23
1985,8.1
1986,6.81
1987,6.66
1988,7.57
1989,9.22
1990,8.1
1991,5.69
1992,3.52
1993,3.02
1994,4.2
1995,5.84
1996,5.3
1997,5.46
1998,5.35
1999,4.97
2000,6.24
2001,3.89
2002,1.67
2003,1.13
2004,1.35
2005,3.21
2006,4.96
2007,5.02
2008,1.93
2009,0.16
2010,0.18
2011,0.1
2012,0.14
2013,0.11
2014,0.09
2015,0.13
2016,0.4
2017,1
2018,1.83
2019,2.16
2020,0.38
2021,0.08
2022,1.68
2023,5.02
2024,5.14
