Year,"Labor For (1,000 people)"
1978,102233
1979,104961
1980,106974
1981,108676
1982,110244
1983,111515
1984,113532
1985,115467
1986,117846
1987,119853
1988,121671
1989,123851
1990,125857
1991,126352
1992,128099
1993,129185
1994,131047
1995,132315
1996,133951
1997,136301
1998,137680
1999,139380
2000,142586
2001,143769
2002,144856
2003,146500
2004,147380
2005,149289
2006,151409
2007,153123
2008,154322
2009,154189
2010,153885
2011,153624
2012,154974
2013,155398
2014,155920
2015,157138
2016,159188
2017,160319
2018,162078
2019,163537
2020,160763
2021,161214
2022,164288
2023,167118
2024,168110
