Year,Money Supply
1978,1322.2
1979,1425.7
1980,1540.2
1981,1679.3
1982,1830.9
1983,2054.5
1984,2219
1985,2416.5
1986,2612.8
1987,2782.3
1988,2931.1
1989,3054
1990,3222.2
1991,3342.1
1992,3404.6
1993,3439.8
1994,3483.4
1995,3555.6
1996,3729
1997,3925.7
1998,4206.5
1999,4518.1
2000,4792.1
2001,5208.9
2002,5598.2
2003,5988.1
2004,6273.8
2005,6541.1
2006,6884.7
2007,7308
2008,7804.1
2009,8433.3
2010,8645.6
2011,9276.9
2012,10065
2013,10740.2
2014,11399
2015,12055.6
2016,12869.9
2017,13596.4
2018,14115.1
2019,14836.6
2020,17666.4
2021,20516
2022,21570.7
2023,20825.3
2024,21096.6
